kode_wilayah,provinsi,kabupaten,kecamatan,desa,latitude,longitude,elevasi
35.07.04.2012,,,,ringinsari,,,
35.07.04.2013,,,,druju,,,
35.07.04.2014,,,,tambakrejo,,,
35.07.04.2015,,,,sidoasri,,,
35.07.05,,,,dampit,,,
35.07.05.2001,,,,sukodono,,,
35.07.05.2002,,,,sumbersuko,,,
35.07.05.2003,,,,srimulyo,,,
35.07.05.2004,,,,baturetno,,,
35.07.05.2005,,,,bumirejo,,,
35.07.05.2006,,,,amandanom,,,
35.07.05.1007,,,,dampit,,,
35.07.05.2008,,,,pamotan,,,
35.07.05.2009,,,,majangtengah,,,
35.07.05.2010,,,,rembun,,,
35.07.05.2011,,,,pojok,,,
35.07.05.2012,,,,jambangan,,,
35.07.06,,,,ampelgading,,,
35.07.06.2001,,,,lebakharjo,,,
35.07.06.2002,,,,wirotaman,,,
35.07.06.2003,,,,tamanasri,,,
35.07.06.2004,,,,tirtomarto,,,
35.07.06.2005,,,,purwoharjo,,,
35.07.06.2006,,,,sidorenggo,,,
35.07.06.2007,,,,tirtomoyo,,,
35.07.06.2008,,,,argoyuwono,,,
35.07.06.2009,,,,mulyoasri,,,
35.07.06.2010,,,,tawangagung,,,
35.07.06.2011,,,,simojayan,,,
35.07.06.2012,,,,tamansari,,,
35.07.06.2013,,,,sonowangi,,,
35.07.07,,,,poncokusumo,,,
35.07.07.2001,,,,dawuhan,,,
35.07.07.2002,,,,sumberejo,,,
35.07.07.2003,,,,pandansari,,,
35.07.07.2004,,,,ngadireso,,,
35.07.07.2005,,,,wonorejo,,,
35.07.07.2006,,,,karangnongko,,,
35.07.07.2007,,,,karanganyar,,,
35.07.07.2008,,,,jambesari,,,
35.07.07.2009,,,,ngebruk,,,
35.07.07.2010,,,,pajaran,,,
35.07.07.2011,,,,argosuko,,,
35.07.07.2012,,,,wonomulyo,,,
35.07.07.2013,,,,belung,,,
35.07.07.2014,,,,wringinanom,,,
35.07.07.2015,,,,poncokusumo,,,
35.07.07.2016,,,,gubugklakah,,,
35.07.07.2017,,,,ngadas,,,
35.07.08,,,,wajak,,,
35.07.08.2001,,,,sumberputih,,,
35.07.08.2002,,,,wonoayu,,,
35.07.08.2003,,,,bambang,,,
35.07.08.2004,,,,bringin,,,
35.07.08.2005,,,,dadapan,,,
35.07.08.2006,,,,patokpicis,,,
35.07.08.2007,,,,blayu,,,
35.07.08.2008,,,,codo,,,
35.07.08.2009,,,,sukolilo,,,
35.07.08.2010,,,,kidangbang,,,
35.07.08.2011,,,,sukoanyar,,,
35.07.08.2012,,,,wajak,,,
35.07.08.2013,,,,ngembal,,,
35.07.09,,,,turen,,,
35.07.09.2001,,,,tawangrejeni,,,
35.07.09.2002,,,,kemulan,,,
35.07.09.2003,,,,sawahan,,,
35.07.09.2004,,,,undaan,,,
35.07.09.2005,,,,gedok kulon,,,
35.07.09.2006,,,,gedok wetan,,,
35.07.09.2007,,,,talok,,,
35.07.09.1008,,,,sedayu,,,
35.07.09.2009,,,,tanggung,,,
35.07.09.2010,,,,jeru,,,
35.07.09.1011,,,,turen,,,
35.07.09.2012,,,,pagedangan,,,
35.07.09.2013,,,,sanankerto,,,
35.07.09.2014,,,,sananrejo,,,
35.07.09.2015,,,,kedok,,,
35.07.09.2016,,,,talangsuko,,,
35.07.09.2017,,,,tumpukrenteng,,,
35.07.10,,,,gondanglegi,,,
35.07.10.2001,,,,putat kidul,,,
35.07.10.2002,,,,gondanglegi kulon,,,
35.07.10.2003,,,,sukosari,,,
35.07.10.2004,,,,gondanglegi wetan,,,
35.07.10.2005,,,,sukorejo,,,
35.07.10.2006,,,,bulupitu,,,
35.07.10.2007,,,,panggungrejo,,,
35.07.10.2008,,,,ganjaran,,,
35.07.10.2009,,,,putat lor,,,
35.07.10.2010,,,,urek - urek,,,
35.07.10.2011,,,,ketawang,,,
35.07.10.2012,,,,putukrejo,,,
35.07.10.2013,,,,sumberjaya,,,
35.07.10.2014,,,,sepanjang,,,
35.07.11,,,,kalipare,,,
35.07.11.2001,,,,putukrejo,,,
35.07.11.2002,,,,kalipare,,,
35.07.11.2003,,,,sumberpetung,,,
35.07.11.2004,,,,sukowilangun,,,
35.07.11.2005,,,,tumpakrejo,,,
35.07.11.2006,,,,arjosari,,,
35.07.11.2007,,,,kalirejo,,,
35.07.11.2008,,,,arjowilangun,,,
35.07.11.2009,,,,kaliasri,,,
35.07.12,,,,sumberpucung,,,
35.07.12.2001,,,,ternyang,,,
35.07.12.2002,,,,senggreng,,,
35.07.12.2003,,,,sambigede,,,
35.07.12.2004,,,,ngebrug,,,
35.07.12.2005,,,,jatiguwi,,,
35.07.12.2006,,,,sumberpucung,,,
35.07.12.2007,,,,karangkates,,,
35.07.13,,,,kepanjen,,,
35.07.13.2001,,,,kemiri,,,
35.07.13.2002,,,,sengguruh,,,
35.07.13.2003,,,,mangunrejo,,,
35.07.13.2004,,,,jenggolo,,,
35.07.13.2005,,,,kedungpedaringan,,,
35.07.13.2006,,,,tegalsari,,,
35.07.13.1007,,,,panarukan,,,
35.07.13.2008,,,,panggungrejo,,,
35.07.13.1009,,,,cepokomulyo,,,
35.07.13.1010,,,,kepanjen,,,
35.07.13.2011,,,,talangagung,,,
35.07.13.2012,,,,dilem,,,
35.07.13.1013,,,,ardirejo,,,
35.07.13.2014,,,,sukoraharjo,,,
35.07.13.2015,,,,curungrejo,,,
35.07.13.2016,,,,jatirejoyoso,,,
35.07.13.2017,,,,ngadilangkung,,,
35.07.13.2018,,,,mojosari,,,
35.07.14,,,,bululawang,,,
35.07.14.2001,,,,sudimoro,,,
35.07.14.2002,,,,kasri,,,
35.07.14.2003,,,,bakalan,,,
35.07.14.2004,,,,krebet,,,
35.07.14.2005,,,,gading,,,
35.07.14.2006,,,,sukonolo,,,
35.07.14.2007,,,,lumbangsari,,,
35.07.14.2008,,,,wandanpuro,,,
35.07.14.2009,,,,sempalwadak,,,
35.07.14.2010,,,,bululawang,,,
35.07.14.2011,,,,krebet senggrong,,,
35.07.14.2012,,,,kuwolu,,,
35.07.14.2013,,,,kasembon,,,
35.07.14.2014,,,,pringu,,,
35.07.15,,,,tajinan,,,
35.07.15.2001,,,,gunungsari,,,
35.07.15.2002,,,,gunungronggo,,,
35.07.15.2003,,,,purwosekar,,,
35.07.15.2004,,,,ngawonggo,,,
35.07.15.2005,,,,pandanmulyo,,,
35.07.15.2006,,,,jatisari,,,
35.07.15.2007,,,,tajinan,,,
35.07.15.2008,,,,randugading,,,
35.07.15.2009,,,,jambearjo,,,
35.07.15.2010,,,,tangkilsari,,,
35.07.15.2011,,,,sumbersuko,,,
35.07.15.2012,,,,tambaksari,,,
35.07.16,,,,tumpang,,,
35.07.16.2001,,,,ngingit,,,
35.07.16.2002,,,,kidal,,,
35.07.16.2003,,,,kambingan,,,
35.07.16.2004,,,,pandanajeng,,,
35.07.16.2005,,,,pulungdowo,,,
35.07.16.2006,,,,bokor,,,
35.07.16.2007,,,,slamet,,,
35.07.16.2008,,,,wringinsongo,,,
35.07.16.2009,,,,jeru,,,
35.07.16.2010,,,,malangsuko,,,
35.07.16.2011,,,,tumpang,,,
35.07.16.2012,,,,tulusbesar,,,
35.07.16.2013,,,,duwet,,,
35.07.16.2014,,,,benjor,,,
35.07.16.2015,,,,duwet kerajan,,,
35.07.17,,,,jabung,,,
35.07.17.2001,,,,taji,,,
35.07.17.2002,,,,ngadirejo,,,
35.07.17.2003,,,,kenongo,,,
35.07.17.2004,,,,sidorejo,,,
35.07.17.2005,,,,sukopuro,,,
35.07.17.2006,,,,pandansari lor,,,
35.07.17.2007,,,,sidomulyo,,,
35.07.17.2008,,,,gadingkembar,,,
35.07.17.2009,,,,argosari,,,
35.07.17.2010,,,,kemantren,,,
35.07.17.2011,,,,sukolilo,,,
35.07.17.2012,,,,gunungjati,,,
35.07.17.2013,,,,jabung,,,
35.07.17.2014,,,,slamparejo,,,
35.07.17.2015,,,,kemiri,,,
35.07.18,,,,pakis,,,
35.07.18.2001,,,,kedungrejo,,,
35.07.18.2002,,,,banjarejo,,,
35.07.18.2003,,,,pucangsongo,,,
35.07.18.2004,,,,sukoanyar,,,
35.07.18.2005,,,,sumberpasir,,,
35.07.18.2006,,,,pakiskembar,,,
35.07.18.2007,,,,sumberkradenan,,,
35.07.18.2008,,,,ampeldento,,,
35.07.18.2009,,,,sekarpuro,,,
35.07.18.2010,,,,mangliawan,,,
35.07.18.2011,,,,tirtomoyo,,,
35.07.18.2012,,,,saptorenggo,,,
35.07.18.2013,,,,asrikaton,,,
35.07.18.2014,,,,bunutwetan,,,
35.07.18.2015,,,,pakisjajar,,,
35.07.19,,,,pakisaji,,,
35.07.19.2001,,,,permanu,,,
35.07.19.2002,,,,karangpandan,,,
35.07.19.2003,,,,gelanggang,,,
35.07.19.2004,,,,wonokerso,,,
35.07.19.2005,,,,karangduren,,,
35.07.19.2006,,,,sutojayan,,,
35.07.19.2007,,,,pakisaji,,,
35.07.19.2008,,,,jatisari,,,
35.07.19.2009,,,,wadung,,,
35.07.19.2010,,,,genengan,,,
35.07.19.2011,,,,kendalpayak,,,
35.07.19.2012,,,,kebonagung,,,
35.07.20,,,,ngajum,,,
35.07.20.2001,,,,ngajum,,,
35.07.20.2002,,,,palaan,,,
35.07.20.2003,,,,ngasem,,,
35.07.20.2004,,,,banjarsari,,,
35.07.20.2005,,,,kranggan,,,
35.07.20.2006,,,,kesamben,,,
35.07.20.2007,,,,babadan,,,
35.07.20.2008,,,,balesari,,,
35.07.20.2009,,,,maguan,,,
35.07.21,,,,wagir,,,
35.07.21.2001,,,,sumbersuko,,,
35.07.21.2002,,,,mendalanwangi,,,
35.07.21.2003,,,,sitirejo,,,
35.07.21.2004,,,,parangargo,,,
35.07.21.2005,,,,gondowangi,,,
35.07.21.2006,,,,pandanrejo,,,
35.07.21.2007,,,,petungsewu,,,
35.07.21.2008,,,,sukodadi,,,
35.07.21.2009,,,,sidorahayu,,,
35.07.21.2010,,,,jedong,,,
35.07.21.2011,,,,dalisodo,,,
35.07.21.2012,,,,pandanlandung,,,
35.07.22,,,,dau,,,
35.07.22.2001,,,,kucur,,,
35.07.22.2002,,,,kalisongo,,,
35.07.22.2003,,,,karangwidoro,,,
35.07.22.2004,,,,petungsewu,,,
35.07.22.2005,,,,selorejo,,,
35.07.22.2006,,,,tegalweru,,,
35.07.22.2007,,,,landungsari,,,
35.07.22.2008,,,,mulyoagung,,,
35.07.22.2009,,,,gadingkulon,,,
35.07.22.2010,,,,sumbersekar,,,
35.07.23,,,,karang ploso,,,
35.07.23.2001,,,,tegalgondo,,,
35.07.23.2002,,,,kepuharjo,,,
35.07.23.2003,,,,ngenep,,,
35.07.23.2004,,,,ngijo,,,
35.07.23.2005,,,,ampeldento,,,
35.07.23.2006,,,,girimoyo,,,
35.07.23.2007,,,,bocek,,,
35.07.23.2008,,,,donowarih,,,
35.07.23.2009,,,,tawangargo,,,
35.07.24,,,,singosari,,,
35.07.24.2001,,,,wonorejo,,,
35.07.24.2002,,,,dengkol,,,
35.07.24.2003,,,,baturetno,,,
35.07.24.2004,,,,watugede,,,
35.07.24.2005,,,,banjararum,,,
35.07.24.2006,,,,tunjungtirto,,,
35.07.24.2007,,,,lang - lang,,,
35.07.24.2008,,,,purwoasri,,,
35.07.24.2009,,,,klampok,,,
35.07.24.2010,,,,gunungrejo,,,
35.07.24.1011,,,,pagentan,,,
35.07.24.2012,,,,tamanhardjo,,,
35.07.24.2013,,,,ardimulyo,,,
35.07.24.1014,,,,losari,,,
35.07.24.1015,,,,candirenggo,,,
35.07.24.2016,,,,toyomarto,,,
35.07.24.2017,,,,randuagung,,,
35.07.25,,,,lawang,,,
35.07.25.2001,,,,sidoluhur,,,
35.07.25.2002,,,,srigading,,,
35.07.25.2003,,,,sidodadi,,,
35.07.25.2004,,,,bedali,,,
35.07.25.1005,,,,kalirejo,,,
35.07.25.2006,,,,mulyoarjo,,,
35.07.25.2007,,,,sumberngepoh,,,
35.07.25.2008,,,,sumberporong,,,
35.07.25.2009,,,,turirejo,,,
35.07.25.1010,,,,lawang,,,
35.07.25.2011,,,,ketindan,,,
35.07.25.2012,,,,wonorejo,,,
35.07.26,,,,pujon,,,
35.07.26.2001,,,,bendosari,,,
35.07.26.2002,,,,sukomulyo,,,
35.07.26.2003,,,,pujon kidul,,,
35.07.26.2004,,,,pandesari,,,
35.07.26.2005,,,,pujon lor,,,
35.07.26.2006,,,,ngroto,,,
35.07.26.2007,,,,ngabab,,,
35.07.26.2008,,,,tawangsari,,,
35.07.26.2009,,,,madiredo,,,
35.07.26.2010,,,,wiyurejo,,,
35.07.27,,,,ngantang,,,
35.07.27.2001,,,,pagersari,,,
35.07.27.2002,,,,sidodadi,,,
35.07.27.2003,,,,banjarejo,,,
35.07.27.2004,,,,purworejo,,,
35.07.27.2005,,,,ngantru,,,
35.07.27.2006,,,,banturejo,,,
35.07.27.2007,,,,pandansari,,,
35.07.27.2008,,,,mulyorejo,,,
35.07.27.2009,,,,sumberagung,,,
35.07.27.2010,,,,kaumrejo,,,
35.07.27.2011,,,,tulungrejo,,,
35.07.27.2012,,,,waturejo,,,
35.07.27.2013,,,,jombok,,,
35.07.28,,,,kasembon,,,
35.07.28.2001,,,,pondokagung,,,
35.07.28.2002,,,,bayem,,,
35.07.28.2003,,,,pait,,,
35.07.28.2004,,,,wonoagung,,,
35.07.28.2005,,,,kasembon,,,
35.07.28.2006,,,,sukosari,,,
35.07.29,,,,gedangan,,,
35.07.29.2001,,,,sidodadi,,,
35.07.29.2002,,,,gajahrejo,,,
35.07.29.2003,,,,sindurejo,,,
35.07.29.2004,,,,gedangan,,,
35.07.29.2005,,,,segaran,,,
35.07.29.2006,,,,sumberejo,,,
35.07.29.2007,,,,tumpakrejo,,,
35.07.29.2008,,,,girimulyo,,,
35.07.30,,,,tirtoyudo,,,
35.07.30.2001,,,,pujiharjo,,,
35.07.30.2002,,,,sumbertangkil,,,
35.07.30.2003,,,,kepatihan,,,
35.07.30.2004,,,,jogomulyan,,,
35.07.30.2005,,,,tlogosari,,,
35.07.30.2006,,,,tirtoyudo,,,
35.07.30.2007,,,,sukorejo,,,
35.07.30.2008,,,,ampelgading,,,
35.07.30.2009,,,,tamankuncaran,,,
35.07.30.2010,,,,gadungsari,,,
35.07.30.2011,,,,wonoagung,,,
35.07.30.2012,,,,tamansatriyan,,,
35.07.30.2013,,,,purwodadi,,,
35.07.31,,,,kromengan,,,
35.07.31.2001,,,,slorok,,,
35.07.31.2002,,,,jatikerto,,,
35.07.31.2003,,,,ngadirejo,,,
35.07.31.2004,,,,kromengan,,,
35.07.31.2005,,,,peniwen,,,
35.07.31.2006,,,,jambuwer,,,
35.07.31.2007,,,,karangrejo,,,
35.07.32,,,,wonosari,,,
35.07.32.2001,,,,kluwut,,,
35.07.32.2002,,,,plandi,,,
35.07.32.2003,,,,plaosan,,,
35.07.32.2004,,,,kebobang,,,
35.07.32.2005,,,,sumbertempur,,,
35.07.32.2006,,,,sumberdem,,,
35.07.32.2007,,,,wonosari,,,
35.07.32.2008,,,,bangelan,,,
35.07.33,,,,pagelaran,,,
35.07.33.2001,,,,clumprit,,,
35.07.33.2002,,,,suwaru,,,
35.07.33.2003,,,,kademangan,,,
35.07.33.2004,,,,balearjo,,,
35.07.33.2005,,,,kanigoro,,,
35.07.33.2006,,,,brongkal,,,
35.07.33.2007,,,,pagelaran,,,
35.07.33.2008,,,,banjarejo,,,
35.07.33.2009,,,,karangsuko,,,
35.07.33.2010,,,,sidorejo,,,
35.08,,,,kab. lumajang,,,
35.08.01,,,,tempursari,,,
35.08.01.2001,,,,tegalrejo,,,
35.08.01.2002,,,,bulurejo,,,
35.08.01.2003,,,,purorejo,,,
35.08.01.2004,,,,tempurejo,,,
35.08.01.2005,,,,tempursari,,,
35.08.01.2006,,,,pundungsari,,,
35.08.01.2007,,,,kaliuling,,,
35.08.02,,,,pronojiwo,,,
35.08.02.2001,,,,sidomulyo,,,
35.08.02.2002,,,,pronojiwo,,,
35.08.02.2003,,,,tamanayu,,,
35.08.02.2004,,,,sumberurip,,,
35.08.02.2005,,,,oro-oro ombo,,,
35.08.02.2006,,,,supiturang,,,
35.08.03,,,,candipuro,,,
35.08.03.2001,,,,jugosari,,,
35.08.03.2002,,,,jarit,,,
35.08.03.2003,,,,candipuro,,,
35.08.03.2004,,,,sumberejo,,,
35.08.03.2005,,,,sumber wuluh,,,
35.08.03.2006,,,,sumber mujur,,,
35.08.03.2007,,,,penanggal,,,
35.08.03.2008,,,,tambahrejo,,,
35.08.03.2009,,,,klopo sawit,,,
35.08.03.2010,,,,tumpeng,,,
35.08.04,,,,pasirian,,,
35.08.04.2001,,,,gondoruso,,,
35.08.04.2002,,,,kalibendo,,,
35.08.04.2003,,,,bades,,,
35.08.04.2004,,,,bago,,,
35.08.04.2005,,,,selok awar - awar,,,
35.08.04.2006,,,,condro,,,
35.08.04.2007,,,,madurejo,,,
35.08.04.2008,,,,pasirian,,,
35.08.04.2009,,,,sememu,,,
35.08.04.2010,,,,nguter,,,
35.08.04.2011,,,,selokanyar,,,
35.08.05,,,,tempeh,,,
35.08.05.2001,,,,pandanwangi,,,
35.08.05.2002,,,,sumberjati,,,
35.08.05.2003,,,,tempeh kidul,,,
35.08.05.2004,,,,lempeni,,,
35.08.05.2005,,,,tempeh tengah,,,
35.08.05.2006,,,,kaliwungu,,,
35.08.05.2007,,,,tempeh lor,,,
35.08.05.2008,,,,besuk,,,
35.08.05.2009,,,,jatisari,,,
35.08.05.2010,,,,pulo,,,
35.08.05.2011,,,,gesang,,,
35.08.05.2012,,,,jokarto,,,
35.08.05.2013,,,,pandanarum,,,
35.08.06,,,,kunir,,,
35.08.06.2001,,,,jatimulyo,,,
35.08.06.2002,,,,jatirejo,,,
35.08.06.2003,,,,jatigono,,,
35.08.06.2004,,,,sukorejo,,,
35.08.06.2005,,,,sukosari,,,
35.08.06.2006,,,,kunir kidul,,,
35.08.06.2007,,,,kunir lor,,,
35.08.06.2008,,,,kedungmoro,,,
35.08.06.2009,,,,karanglo,,,
35.08.06.2010,,,,kabuaran,,,
35.08.06.2011,,,,dorogowok,,,
35.08.07,,,,yosowilangun,,,
35.08.07.2001,,,,darungan,,,
35.08.07.2002,,,,kraton,,,
35.08.07.2003,,,,wotgalih,,,
35.08.07.2004,,,,tunjungrejo,,,
35.08.07.2005,,,,yosowilangun kidul,,,
35.08.07.2006,,,,yosowilangun lor,,,
35.08.07.2007,,,,krai,,,
35.08.07.2008,,,,karanganyar,,,
35.08.07.2009,,,,karangrejo,,,
35.08.07.2010,,,,munder,,,
35.08.07.2011,,,,kebonsari,,,
35.08.07.2012,,,,kalipepe,,,
35.08.08,,,,rowokangkung,,,
35.08.08.2001,,,,nogosari,,,
35.08.08.2002,,,,kedungrejo,,,
35.08.08.2003,,,,sidorejo,,,
35.08.08.2004,,,,rowokangkung,,,
35.08.08.2005,,,,sumbersari,,,
35.08.08.2006,,,,dawuhan wetan,,,
35.08.08.2007,,,,sumberanyar,,,
35.08.09,,,,tekung,,,
35.08.09.2001,,,,wonogriyo,,,
35.08.09.2002,,,,wonosari,,,
35.08.09.2003,,,,mangunsari,,,
35.08.09.2004,,,,tekung,,,
35.08.09.2005,,,,wonokerto,,,
35.08.09.2006,,,,tukum,,,
35.08.09.2007,,,,karangbendo,,,
35.08.09.2008,,,,klampokarum,,,
35.08.10,,,,lumajang,,,
35.08.10.2001,,,,banjarwaru,,,
35.08.10.2002,,,,labruk lor,,,
35.08.10.1003,,,,citrodiwangsan,,,
35.08.10.1004,,,,ditotrunan,,,
35.08.10.1005,,,,jogotrunan,,,
35.08.10.2006,,,,denok,,,
35.08.10.2007,,,,blukon,,,
35.08.10.2008,,,,boreng,,,
35.08.10.1009,,,,jogoyudan,,,
35.08.10.1010,,,,rogotrunan,,,
35.08.10.1011,,,,tompokersan,,,
35.08.10.1012,,,,kepuharjo,,,
35.08.11,,,,pasrujambe,,,
35.08.11.2001,,,,pasrujambe,,,
35.08.11.2002,,,,jambekumbu,,,
35.08.11.2003,,,,sukorejo,,,
35.08.11.2004,,,,jambearum,,,
35.08.11.2005,,,,kertosari,,,
35.08.11.2006,,,,pagowan,,,
35.08.11.2007,,,,karanganom,,,
35.08.12,,,,senduro,,,
35.08.12.2001,,,,purworejo,,,
35.08.12.2002,,,,sarikemuning,,,
35.08.12.2003,,,,pandansari,,,
35.08.12.2004,,,,senduro,,,
35.08.12.2005,,,,burno,,,
35.08.12.2006,,,,kandangtepus,,,
35.08.12.2007,,,,kandangan,,,
35.08.12.2008,,,,bedayu,,,
35.08.12.2009,,,,bedayutalang,,,
35.08.12.2010,,,,wonocepokoayu,,,
35.08.12.2011,,,,argosari,,,
35.08.12.2012,,,,ranupani,,,
35.08.13,,,,gucialit,,,
35.08.13.2001,,,,wonokerto,,,
35.08.13.2002,,,,pakel,,,
35.08.13.2003,,,,kenongo,,,
35.08.13.2004,,,,gucialit,,,
35.08.13.2005,,,,dadapan,,,
35.08.13.2006,,,,kertowono,,,
35.08.13.2007,,,,tunjung,,,
35.08.13.2008,,,,jeruk,,,
35.08.13.2009,,,,sombo,,,
35.08.14,,,,padang,,,
35.08.14.2001,,,,barat,,,
35.08.14.2002,,,,babakan,,,
35.08.14.2003,,,,mojo,,,
35.08.14.2004,,,,bodang,,,
35.08.14.2005,,,,kedawung,,,
35.08.14.2006,,,,padang,,,
35.08.14.2007,,,,kalisemut,,,
35.08.14.2008,,,,merakan,,,
35.08.14.2009,,,,tanggung,,,
35.08.15,,,,sukodono,,,
35.08.15.2001,,,,klanting,,,
35.08.15.2002,,,,kebonagung,,,
35.08.15.2003,,,,karangsari,,,
35.08.15.2004,,,,dawuhan lor,,,
35.08.15.2005,,,,kutorenon,,,
35.08.15.2006,,,,selokbesuki,,,
35.08.15.2007,,,,sumberejo,,,
35.08.15.2008,,,,uranggantung,,,
35.08.15.2009,,,,selokgondang,,,
35.08.15.2010,,,,bondoyudo,,,
35.08.16,,,,kedungjajang,,,
35.08.16.2001,,,,pandansari,,,
35.08.16.2002,,,,krasak,,,
35.08.16.2003,,,,kedungjajang,,,
35.08.16.2004,,,,wonorejo,,,
35.08.16.2005,,,,umbul,,,
35.08.16.2006,,,,curahpetung,,,
35.08.16.2007,,,,grobogan,,,
35.08.16.2008,,,,bence,,,
35.08.16.2009,,,,jatisari,,,
35.08.16.2010,,,,tempursari,,,
35.08.16.2011,,,,bandaran,,,
35.08.16.2012,,,,sawaran kulon,,,
35.08.17,,,,jatiroto,,,
35.08.17.2001,,,,banyuputih kidul,,,
35.08.17.2002,,,,rojopolo,,,
35.08.17.2003,,,,kaliboto kidul,,,
35.08.17.2004,,,,kaliboto lor,,,
35.08.17.2005,,,,sukosari,,,
35.08.17.2006,,,,jatiroto,,,
35.08.18,,,,randuagung,,,
35.08.18.2001,,,,banyuputih lor,,,
35.08.18.2002,,,,kalidilem,,,
35.08.18.2003,,,,tunjung,,,
35.08.18.2004,,,,gedangmas,,,
35.08.18.2005,,,,kalipenggung,,,
35.08.18.2006,,,,ranulogong,,,
35.08.18.2007,,,,randuagung,,,
35.08.18.2008,,,,ledoktempuro,,,
35.08.18.2009,,,,pajarakan,,,
35.08.18.2010,,,,buwek,,,
35.08.18.2011,,,,ranuwurung,,,
35.08.18.2012,,,,salak,,,
35.08.19,,,,klakah,,,
35.08.19.2001,,,,kebonan,,,
35.08.19.2002,,,,kudus,,,
35.08.19.2003,,,,duren,,,
35.08.19.2004,,,,sumberwringin,,,
35.08.19.2005,,,,papringan,,,
35.08.19.2006,,,,ranupakis,,,
35.08.19.2007,,,,tegalrandu,,,
35.08.19.2008,,,,klakah,,,
35.08.19.2009,,,,mlawang,,,
35.08.19.2010,,,,sruni,,,
35.08.19.2011,,,,tegalciut,,,
35.08.19.2012,,,,sawaran lor,,,
35.08.20,,,,ranuyoso,,,
35.08.20.2001,,,,jenggrong,,,
35.08.20.2002,,,,meninjo,,,
35.08.20.2003,,,,tegalbangsri,,,
35.08.20.2004,,,,sumberpetung,,,
35.08.20.2005,,,,alun-alun,,,
35.08.20.2006,,,,ranubedali,,,
35.08.20.2007,,,,ranuyoso,,,
35.08.20.2008,,,,wonoayu,,,
35.08.20.2009,,,,penawungan,,,
35.08.20.2010,,,,wates kulon,,,
35.08.20.2011,,,,wates wetan,,,
35.08.21,,,,sumbersuko,,,
35.08.21.2001,,,,sumbersuko,,,
35.08.21.2002,,,,kebonsari,,,
35.08.21.2003,,,,grati,,,
35.08.21.2004,,,,labruk kidul,,,
35.08.21.2005,,,,mojosari,,,
35.08.21.2006,,,,sentul,,,
35.08.21.2007,,,,purwosono,,,
35.08.21.2008,,,,petahunan,,,
35.09,,,,kab. jember,,,
35.09.01,,,,jombang,,,
35.09.01.2001,,,,padomasan,,,
35.09.01.2002,,,,keting,,,
35.09.01.2003,,,,jombang,,,
35.09.01.2004,,,,ngampelrejo,,,
35.09.01.2005,,,,wringinagung,,,
35.09.01.2006,,,,sarimulyo,,,
35.09.02,,,,kencong,,,
35.09.02.2001,,,,cakru,,,
35.09.02.2002,,,,paseban,,,
35.09.02.2003,,,,kraton,,,
35.09.02.2004,,,,kencong,,,
35.09.02.2005,,,,wonorejo,,,
35.09.03,,,,sumberbaru,,,
35.09.03.2001,,,,jamintoro,,,
35.09.03.2002,,,,jatiroto,,,
35.09.03.2003,,,,kaliglagah,,,
35.09.03.2004,,,,jambesari,,,
35.09.03.2005,,,,yosorati,,,
35.09.03.2006,,,,sumberagung,,,
35.09.03.2007,,,,gelang,,,
35.09.03.2008,,,,rowotengah,,,
35.09.03.2009,,,,pringgowirawan,,,
35.09.03.2010,,,,karangbayat,,,
35.09.04,,,,gumukmas,,,
35.09.04.2001,,,,kepanjen,,,
35.09.04.2002,,,,mayangan,,,
35.09.04.2003,,,,gumukmas,,,
35.09.04.2004,,,,menampu,,,
35.09.04.2005,,,,tembokrejo,,,
35.09.04.2006,,,,purwoasri,,,
35.09.04.2007,,,,bagorejo,,,
35.09.04.2008,,,,karangrejo,,,
35.09.05,,,,umbulsari,,,
35.09.05.2001,,,,sukoreno,,,
35.09.05.2002,,,,sidorejo,,,
35.09.05.2003,,,,gunungsari,,,
35.09.05.2004,,,,gadingrejo,,,
35.09.05.2005,,,,umbulrejo,,,
35.09.05.2006,,,,umbulsari,,,
35.09.05.2007,,,,tanjungsari,,,
35.09.05.2008,,,,tegalwangi,,,
35.09.05.2009,,,,paleran,,,
35.09.05.2010,,,,mundurejo,,,
35.09.06,,,,tanggul,,,
35.09.06.2001,,,,tanggulkulon,,,
35.09.06.2002,,,,tanggulwetan,,,
35.09.06.2003,,,,patemon,,,
35.09.06.2004,,,,darungan,,,
35.09.06.2005,,,,manggisan,,,
35.09.06.2006,,,,selodakon,,,
35.09.06.2007,,,,kramat sukoharjo,,,
35.09.06.2008,,,,klatakan,,,
35.09.07,,,,semboro,,,
35.09.07.2001,,,,pondokjoyo,,,
35.09.07.2002,,,,pondokdalem,,,
35.09.07.2003,,,,rejoagung,,,
35.09.07.2004,,,,semboro,,,
35.09.07.2005,,,,sidomekar,,,
35.09.07.2006,,,,sidomulyo,,,
35.09.08,,,,puger,,,
35.09.08.2001,,,,mlokorejo,,,
35.09.08.2002,,,,mojomulyo,,,
35.09.08.2003,,,,mojosari,,,
35.09.08.2004,,,,pugerkulon,,,
35.09.08.2005,,,,wringintelu,,,
35.09.08.2006,,,,kasiyan,,,
35.09.08.2007,,,,bagon,,,
35.09.08.2008,,,,kasiyan timur,,,
35.09.08.2009,,,,wonosari,,,
35.09.08.2010,,,,jambearum,,,
35.09.08.2011,,,,grenden,,,
35.09.08.2012,,,,pugerwetan,,,
35.09.09,,,,bangsalsari,,,
