kode_wilayah,provinsi,kabupaten,kecamatan,desa,latitude,longitude,elevasi
35.01.11.2003,,,,tanjungpuro,,,
35.01.11.2004,,,,hadiluwih,,,
35.01.11.2005,,,,pagerejo,,,
35.01.11.2006,,,,wiyoro,,,
35.01.11.2007,,,,ngadirojo,,,
35.01.11.2008,,,,bogoharjo,,,
35.01.11.2009,,,,cokrokembang,,,
35.01.11.2010,,,,bodag,,,
35.01.11.2011,,,,tanjunglor,,,
35.01.11.2012,,,,nogosari,,,
35.01.11.2013,,,,cangkring,,,
35.01.11.2014,,,,wonodadi wetan,,,
35.01.11.2015,,,,wonodadi kulon,,,
35.01.11.2016,,,,wonokarto,,,
35.01.11.2017,,,,wonosobo,,,
35.01.11.2018,,,,wonoasri,,,
35.01.12,,,,sudimoro,,,
35.01.12.2001,,,,pagerkidul,,,
35.01.12.2002,,,,pagerlor,,,
35.01.12.2003,,,,sukorejo,,,
35.01.12.2004,,,,sudimoro,,,
35.01.12.2005,,,,ketanggung,,,
35.01.12.2006,,,,klepu,,,
35.01.12.2007,,,,sembowo,,,
35.01.12.2008,,,,karangmulyo,,,
35.01.12.2009,,,,gunungrejo,,,
35.01.12.2010,,,,sumberejo,,,
35.02,,,,kab. ponorogo,,,
35.02.01,,,,slahung,,,
35.02.01.2001,,,,tugurejo,,,
35.02.01.2002,,,,senepo,,,
35.02.01.2003,,,,slahung,,,
35.02.01.2004,,,,caluk,,,
35.02.01.2005,,,,broto,,,
35.02.01.2006,,,,menggare,,,
35.02.01.2007,,,,kambeng,,,
35.02.01.2008,,,,wates,,,
35.02.01.2009,,,,ngilo-ilo,,,
35.02.01.2010,,,,duri,,,
35.02.01.2011,,,,ngloning,,,
35.02.01.2012,,,,plancungan,,,
35.02.01.2013,,,,jebeng,,,
35.02.01.2014,,,,galak,,,
35.02.01.2015,,,,truneng,,,
35.02.01.2016,,,,simo,,,
35.02.01.2017,,,,crabak,,,
35.02.01.2018,,,,mojopitu,,,
35.02.01.2019,,,,gundik,,,
35.02.01.2020,,,,nailan,,,
35.02.01.2021,,,,gombang,,,
35.02.01.2022,,,,janti,,,
35.02.02,,,,ngrayun,,,
35.02.02.2001,,,,wonodadi,,,
35.02.02.2002,,,,sendang,,,
35.02.02.2003,,,,baosan kidul,,,
35.02.02.2004,,,,binade,,,
35.02.02.2005,,,,mrayan,,,
35.02.02.2006,,,,baosan lor,,,
35.02.02.2007,,,,temon,,,
35.02.02.2008,,,,selur,,,
35.02.02.2009,,,,ngrayun,,,
35.02.02.2010,,,,cepoko,,,
35.02.02.2011,,,,gedangan,,,
35.02.03,,,,bungkal,,,
35.02.03.2001,,,,pelem,,,
35.02.03.2002,,,,koripan,,,
35.02.03.2003,,,,bekare,,,
35.02.03.2004,,,,nambak,,,
35.02.03.2005,,,,kalisat,,,
35.02.03.2006,,,,munggu,,,
35.02.03.2007,,,,pager,,,
35.02.03.2008,,,,belang,,,
35.02.03.2009,,,,bungkal,,,
35.02.03.2010,,,,ketonggo,,,
35.02.03.2011,,,,kunti,,,
35.02.03.2012,,,,bancar,,,
35.02.03.2013,,,,padas,,,
35.02.03.2014,,,,bungu,,,
35.02.03.2015,,,,kupuk,,,
